sample_id	PC1	PC2
TCGA-GM-A2DC-01	-0.235895	-0.064987
TCGA-GM-A2DD-01	0.034600	0.101219
TCGA-GM-A2DF-01	0.339030	0.005943
TCGA-GM-A2DH-01	0.103709	-0.042660
TCGA-GM-A2DI-01	0.078815	0.276946
TCGA-GM-A2DK-01	-0.062616	0.210729
TCGA-GM-A2DL-01	-0.166553	0.120029
TCGA-GM-A2DM-01	-0.029525	0.043349
TCGA-GM-A2DN-01	0.008953	0.194282
TCGA-GM-A2DO-01	0.047011	0.052128
TCGA-GM-A3NW-01	-0.233737	0.090515
TCGA-GM-A3NY-01	-0.161811	0.040176
TCGA-GM-A3XG-01	0.099987	0.352422
TCGA-GM-A3XL-01	0.413351	-0.120712
TCGA-GM-A3XN-01	0.019972	0.248060
TCGA-GM-A4E0-01	0.011390	0.213036
TCGA-GM-A5PV-01	-0.125558	0.239880
TCGA-GM-A5PX-01	-0.166839	0.249389
